,0
0,INDIA
1,JAPAN
2,PAPUA NEW GUINEA
3,BAHRAIN
4,SINGAPORE
5,BANGLADESH
6,UNITED STATES
7,PAKISTAN
8,AUSTRALIA
9,CHINA
10,NETHERLANDS
11,UNITED KINGDOM
12,UNITED ARAB EMIRATES
13,NEW ZEALAND
14,KIRIBATI
15,RUSSIA
16,NEPAL
17,MALAYSIA
18,HONG KONG
19,SOUTH KOREA
20,VIETNAM
21,FIJI
22,NAURU
23,BRUNEI
24,BENIN
25,TAIWAN
26,SRI LANKA
27,PHILIPPINES
28,CHRISTMAS ISLAND
29,NEW CALEDONIA
30,MAURITIUS
31,SPAIN
32,LAOS
33,MONGOLIA
34,INDONESIA
35,SWITZERLAND
36,URUGUAY
37,SOLOMON ISLANDS
38,CAMBODIA
39,NIGERIA
40,SAUDI ARABIA
41,PALESTINIAN TERRITORY
42,CHILE
43,THAILAND
44,GHANA
45,EAST TIMOR
46,MARSHALL ISLANDS
47,GERMANY
48,GAMBIA
49,BHUTAN
50,AFGHANISTAN
51,SWEDEN
52,ISRAEL
53,MALDIVES
54,GUAM
55,MYANMAR
56,FINLAND
57,UNITED STATES MINOR OUTLYING ISLANDS
58,CZECH REPUBLIC
59,VANUATU
60,RWANDA
61,BRAZIL
62,DEMOCRATIC REPUBLIC OF THE CONGO
63,CANADA
64,FRANCE
65,SOUTH AFRICA
66,AUSTRIA
67,HUNGARY
68,"KOREA, REPUBLIC OF"
69,RUSSIAN FEDERATION
70,BRUNEI DARUSSALAM
71,US MINOR OUTLYING ISLANDS
72,MEXICO
73,
74,EGYPT
75,IRELAND
76,TIMOR-LESTE
77,IRAN
78,BELGIUM
79,LAO
80,SUDAN
81,CAMEROON
82,UNITED KINGDON
83,SENEGAL
84,UGANDA
85,UKRAINE
86,KENYA
87,CYPRUS
88,VIET NAM
89,TUVALU
90,SAMOA
91,NIUE
92,MACAO
93,COOK ISLANDS
94,OMAN
95,ALBANIA
96,NIGER
97,ITALY
98,KYRGYSTAN
99,ANGOLA
100,"CONGO, DEMOCRAT REPUBLIC"
101,KAZAKHSTAN
102,TAJIKISTAN
103,ARGENTINA
104,AZERBAIJAN
105,TONGA
106,UZBEKISTAN
107,MALI
108,GABON
109,CAYMAN ISLANDS
110,JORDAN
111,ARMENIA
112,ECUADOR
113,COLOMBIA
114,MALAWI
115,LUXEMBOURG
116,DENMARK
117,SLOVENIA
118,TANZANIA
119,EL SALVADOR
120,ROMANIA
121,LEBANON
122,BURUNDI
123,LIBERIA
124,POLAND
125,TOKELAU ISLANDS
126,UNITED STATES OF AMERICA
127,KOREA (REPUBLIC OF)
128,LAO PEOPLE'S DEMOCRATIC REPUBLIC
129,NORWAY
130,TURKEY
131,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND
132,NORTHERN MARIANA ISLANDS
133,BARBADOS
134,ESTONIA
135,AMERICAN SAMOA
